!   nombres.la,,,,,
!,,,,,
!This file is part of COLLATINVS.,,,,,
!COLLATINVS is free software; you can redistribute it and/or modify,,,,,
!it under the terms of the GNV General Public License as published by,,,,,
!the Free Software Foundation; either version 2 of the License, or,,,,
!(at your option) any later version.,,,,,
!,,,,,
!COLLATINVS is distributed in the hope that it will be useful,,,,,
!but WITHOVT ANY WARRANTY; without even the implied warranty of,,,,,
!MERCHANTABILITY or FITNESS FOR A PARTICVLAR PVRPOSE.  See the,,,,,
!GNV General Public License for more details.,,,,,
!,,,,,
!You should have received a copy of the GNV General Public License,,,,,
!along with COLLATINVS; if not, write to the Free Software,,,,
!Foundation, Inc., 59 Temple Place, Suite 3inv, Boston, MA  02111-1307  VSA
! (c) © Yves Ouvrard, 2011 - 2016,,,,
!,,,,,
!,,,,,
! Ce fichier contient le nombre d'occurrences de chaque lemme.,,,,,
! Les champs sont séparés par une virgule (.csv),,,,,
!,,,,,
! Il a été obtenu en lemmatisant la liste de formes,,,,,
! tirée des textes lemmatisés par la LASLA.,,,,,
! Vn algo, plus ou moins raffiné, a essayé d'associer,,,
! les lemmes de Collatinus (1er champ),,,,,
! aux lemmes du LASLA (2ème champ),,,,,
! avec le nombre d'occurrences associé.,,,,,
!,,,,,
! Les relations ne sont pas bi-univoques :,,,,,
! - un lemme de Collatinus peut être associé à plusieurs lemmes du LASLA,,,,,
"!	par exemple ""et"" qui peut être CC ou adv est associé à ""ET 1"" et à ""ET 2""",,,,,
! - un lemme du LASLA peut être associé à plusieurs lemmes de Collatinus,,,,,
!	par exemple POPVLVS 1 recouvre les formes de poplus et celles de populus.,,,,,
!,,,,,
! Par précaution, les cas qui ne sont pas bi-univoques ont été,,,,
! commentés a priori par le programme.,,,,,
! Sur les 26 702 lignes du fichiers, 5 681 étaient commentées.,,,,
! À moi d'en décommenter quelques unes.,,,,,
!,,,,,
! Les 24 643 premières lignes correspondent aux cas simples.,,,,,
! Les dernières sont les cas où il faut encore départager les candidats.,,,,,
! Il y a alors un 4ème champ avec tous les candidats possibles,,,,,
! alors que le 1er champ contient les challengers séparés par un point-virgule.,,,,,
! Ces cas sont repérés par un double point d'exclamation.,,,,,
! Il y en avait 830 au départ.,,,,,
!,,,,,
! Philippe, Novembre 2016,,,,
!,,,,,
!,,,,,
Abantiades,ABANTIADES N,2,,,
Abarim,-ABARIS N-,1,,,
Abas,ABAS N,4,,,
Abdagaeses,ABDAGAESES N,3,,,
Abdalonymus,ABDALONYMVS N,4,,,
Abdera,ABDERA N,1,,,
Abella,ABELLA N,1,,,
Abii,ABII N,1,,,
Aborigines,ABORIGINES N,3,,,
Abulites,ABVLITES N,3,,,
Abydenus,ABYDENVS A,3,,,
Abydos,ABYDVS N,6,,,
!Academica,ACADEMICA N,1,,,
Academica,ACADEMICI N,2,,,
Academus,ACADEMVS N,1,,,
Acadira,ACADIRA N,1,,,
Acamas,ACAMAS N,1,,,
Acanthis2,ACANTHIS N,1,,,
Acarnan,ACARNAN A,2,,,
Acarnan2,ACARNANES N,1,,,
Acarnania,ACARNANIA N,3,,,
Acastus,ACASTVS N,5,,,
Acbarus,ABGARVS N,3,,,
Acca,ACCA N,5,,,
Accius,-ACCIVS N,13,,,
Acco,ACCO N,3,,,
Acerronia,ACERRONIA N,5,,,
Acerronius,ACERRONIVS N,5,,,
Acesines,ACESINES N,3,,,
!Acesines,ACESINES N-,1,,,
Acestenses,ACESTENSES N,3,,,
Acestes,ACESTES N,28,,,
Achaemenes,ACHAEMENES N,2,,,
Achaemenides,ACHAEMENIDES N,3,,,
Achaemenius,ACHAEMENIVS A,4,,,
Achaeus,ACHAEVS A,2,,,
!Achaicus,-ACHAICI N,1,,,
Achaicus,ACHAICVS A,8,,,
Acharneus,ACHARNEVS N,1,,,
Achates,ACHATES N,23,,,
Acheloius,ACHELOIVS A,2,,,
Achelous,ACHELOVS N,8,,,
Acheron,ACHERON N,19,,,
Acheruns,ACHERON N,7,,,
Acherusius,ACHERVSIVS A,5,,,
Achillas,ACHILLAS N,14,,,
!Achilleon,ACHILLES N,3,,,
Achilles,ACHILLES N,100,,,
!Achilles,ACHILLES N-,10,,,
Achilleus,ACHILLEVS A,3,,,
Achillides,ACHILLIDES N,2,,,
Achiui,ACHIVI N,17,,,
!Achiuus,-ACHIVI N-,3,,,
Achiuus,ACHIVVS A,7,,,
Achradina,ACHRADINA N,1,,,
Aci,ACIS N-,1,,,
Acidalia,ACIDALIA N,1,,,
Acidinus,ACIDINVS N,1,,,
Acilianus,-ACILIANVS N,4,,,
!Acilius,-ACILIA N,2,,,
